METRO_KEY,COUNTRY,REGIONS,METRO_NAME
-1,?,?,not metroized
0,?,?,no metro
500,usa,me-nh,portland-auburn
501,usa,ct-nj-ny-pa,new york
502,usa,ny,binghamton
503,usa,ga,macon
504,usa,de-nj-pa,philadelphia
505,usa,mi,detroit
506,usa,ma-nh-vt,boston (manchester)
507,usa,ga-sc,savannah
508,usa,md-pa-wv,pittsburgh
509,usa,in-oh,ft. wayne
510,usa,oh,cleveland-akron (canton)
511,usa,dc-md-pa-va-wv,washington, dc (hagrstwn)
512,usa,md,baltimore
513,usa,mi,flint-saginaw-bay city
514,usa,ny-pa,buffalo
515,usa,in-ky-oh,cincinnati
516,usa,pa,erie
517,usa,nc-sc,charlotte
518,usa,nc-va,greensboro-h.point-w.salem
519,usa,sc,charleston, sc
520,usa,ga-sc,augusta-aiken
521,usa,ma-ri,providence-new bedford
522,usa,al-ga,columbus, ga (opelika, al)
523,usa,nh-ny-vt,burlington-plattsburgh
524,usa,al-ga-nc,atlanta
525,usa,ga,albany, ga
526,usa,ny,utica
527,usa,in,indianapolis
528,usa,fl,miami-ft. lauderdale
529,usa,in-ky,louisville
530,usa,fl-ga,tallahassee-thomasville
531,usa,ky-tn-va,tri-cities, tn-va
532,usa,ma-ny-vt,albany-schenectady-troy
533,usa,ct,hartford & new haven
534,usa,fl,orlando-daytona bch-melbrn
535,usa,oh,columbus, oh
536,usa,oh-pa,youngstown
537,usa,me,bangor
538,usa,ny,rochester, ny
539,usa,fl,tampa-st. pete (sarasota)
540,usa,mi,traverse city-cadillac
541,usa,ky,lexington
542,usa,in-oh,dayton
543,usa,ma,springfield-holyoke
544,usa,nc-va,norfolk-portsmth-newpt nws
545,usa,nc,greenville-n.bern-washngtn
546,usa,sc,columbia, sc
547,usa,mi-oh,toledo
548,usa,fl,west palm beach-ft. pierce
549,usa,ny,watertown
550,usa,nc,wilmington
551,usa,mi,lansing
552,usa,me,presque isle
553,usa,mi-wi,marquette
554,usa,oh-wv,wheeling-steubenville
555,usa,ny,syracuse
556,usa,va,richmond-petersburg
557,usa,ky-tn,knoxville
558,usa,oh,lima
559,usa,va-wv,bluefield-beckley-oak hill
560,usa,nc-va,raleigh-durham (fayetvlle)
561,usa,fl-ga,jacksonville
563,usa,mi,grand rapids-kalmzoo-b.crk
564,usa,ky-oh-wv,charleston-huntington
565,usa,ny-pa,elmira (corning)
566,usa,pa,harrisburg-lncstr-leb-york
567,usa,ga-nc-sc,greenvll-spart-ashevll-and
569,usa,va-wv,harrisonburg
570,usa,nc-sc,myrtle beach-florence
571,usa,fl,ft. myers-naples
573,usa,va-wv,roanoke-lynchburg
574,usa,pa,johnstown-altoona-st colge
575,usa,ga-nc-tn,chattanooga
576,usa,de-md,salisbury
577,usa,pa,wilkes barre-scranton
581,usa,il-in,terre haute
582,usa,in,lafayette, in
583,usa,mi,alpena
584,usa,va,charlottesville
588,usa,in-mi,south bend-elkhart
592,usa,fl,gainesville
596,usa,oh,zanesville
597,usa,oh-wv,parkersburg
598,usa,wv,clarksburg-weston
600,usa,tx,corpus christi
602,usa,il-in,chicago
603,usa,ks-mo-ok,joplin-pittsburg
604,usa,mo,columbia-jefferson city
605,usa,ks,topeka
606,usa,al-fl-ga,dothan
609,usa,il-mo,st. louis
610,usa,il,rockford
611,usa,ia-mn,rochestr-mason city-austin
612,usa,ar-la-ok-tx,shreveport
613,usa,mn-wi,minneapolis-st. paul
616,usa,ks-mo,kansas city
617,usa,wi,milwaukee
618,usa,tx,houston
619,usa,ar-mo,springfield, mo
622,usa,la-ms,new orleans
623,usa,tx,dallas-ft. worth
624,usa,ia-ne-sd,sioux city
625,usa,tx,waco-temple-bryan
626,usa,tx,victoria
627,usa,ok-tx,wichita falls & lawton
628,usa,ar-la,monroe-el dorado
630,usa,al,birmingham (ann and tusc)
631,usa,ia-mo,ottumwa-kirksville
632,usa,il-ky-mo-tn,paducah-cape girard-harsbg
633,usa,nm-tx,odessa-midland
634,usa,nm-ok-tx,amarillo
635,usa,tx,austin
636,usa,tx,harlingen-wslco-brnsvl-mca
637,usa,ia,cedar rapids-wtrlo-iwc&dub
638,usa,ks-mo,st. joseph
639,usa,tn,jackson, tn
640,usa,ar-ms-tn,memphis
641,usa,tx,san antonio
642,usa,la,lafayette, la
643,usa,la,lake charles
644,usa,la,alexandria, la
647,usa,ms,greenwood-greenville
648,usa,il-in,champaign&sprngfld-decatur
649,usa,il-in-ky,evansville
650,usa,ok,oklahoma city
651,usa,tx,lubbock
652,usa,ia-mo-ne,omaha
656,usa,fl,panama city
657,usa,ok-tx,sherman-ada
658,usa,mi-wi,green bay-appleton
659,usa,ky-tn,nashville
661,usa,tx,san angelo
662,usa,tx,abilene-sweetwater
669,usa,wi,madison
670,usa,ar-ok,ft. smith-fay-sprngdl-rgrs
671,usa,ks-ok,tulsa
673,usa,al-ms,columbus-tupelo-w pnt-hstn
675,usa,il,peoria-bloomington
676,usa,mi-mn-wi,duluth-superior
678,usa,ks,wichita-hutchinson plus
679,usa,ia,des moines-ames
682,usa,ia-il,davenport-r.island-moline
686,usa,al-fl-ms,mobile-pensacola (ft walt)
687,usa,mt-nd-sd,minot-bsmrck-dcknsn(wlstn)
691,usa,al-tn,huntsville-decatur (flor)
692,usa,tx,beaumont-port arthur
693,usa,ar,little rock-pine bluff
698,usa,al,montgomery-selma
702,usa,mn-wi,la crosse-eau claire
705,usa,wi,wausau-rhinelander
709,usa,tx,tyler-longview(lfkn&ncgd)
710,usa,ms,hattiesburg-laurel
711,usa,al-ms,meridian
716,usa,la-ms,baton rouge
717,usa,ia-il-mo,quincy-hannibal-keokuk
718,usa,ms,jackson, ms
722,usa,ks-ne,lincoln & hastings-krny
724,usa,mn-nd,fargo-valley city
725,usa,ia-mn-ne-sd,sioux falls(mitchell)
734,usa,ar,jonesboro
736,usa,ky,bowling green
737,usa,mn,mankato
740,usa,ne,north platte
743,usa,ak,anchorage
744,usa,hi,honolulu
745,usa,ak,fairbanks
746,usa,ms,biloxi-gulfport
747,usa,ak,juneau
749,usa,tx,laredo
751,usa,co-ne-wy,denver
752,usa,co,colorado springs-pueblo
753,usa,az,phoenix (prescott)
754,usa,mt,butte-bozeman
755,usa,mt,great falls
756,usa,mt-wy,billings
757,usa,id-or,boise
758,usa,id-wy,idaho fals-pocatllo(jcksn)
759,usa,ne-wy,cheyenne-scottsbluf
760,usa,id,twin falls
762,usa,mt,missoula
764,usa,mt-ne-sd-wy,rapid city
765,usa,nm-tx,el paso (las cruces)
766,usa,mt,helena
767,usa,wy,casper-riverton
770,usa,id-nv-ut-wy,salt lake city
771,usa,az-ca,yuma-el centro
773,usa,co,grand junction-montrose
789,usa,az,tucson (sierra vista)
790,usa,az-co-nm,albuquerque-santa fe
798,usa,mt,glendive
800,usa,ca,bakersfield
801,usa,or,eugene
802,usa,ca,eureka
803,usa,ca-nv,los angeles
804,usa,ca,palm springs
807,usa,ca,san francisco-oak-san jose
810,usa,or-wa,yakima-pasco-rchlnd-knnwck
811,usa,ca-nv,reno
813,usa,ca-or,medford-klamath falls
819,usa,wa,seattle-tacoma
820,usa,or-wa,portland, or
821,usa,or,bend, or
825,usa,ca,san diego
828,usa,ca,monterey-salinas
839,usa,nv,las vegas
855,usa,ca,santabarbra-sanmar-sanluob
862,usa,ca,sacramnto-stkton-modesto
866,usa,ca,fresno-visalia
868,usa,ca,chico-redding
881,usa,id-mt-or-wa,spokane
250001,fra,v,ain
250002,fra,s,aisne
250003,fra,c,allier
250004,fra,u,alpes-de-haute-provence
250005,fra,u,hautes-alpes
250006,fra,u,alpes-maritimes
250007,fra,v,ardeche
250008,fra,g,ardennes
250009,fra,n,ariege
250010,fra,g,aube
250011,fra,k,aude
250012,fra,n,aveyron
250013,fra,u,bouches-du-rhone
250014,fra,p,calvados
250015,fra,c,cantal
250016,fra,t,charente
250017,fra,t,charente-maritime
250018,fra,f,cher
250019,fra,l,correze
250020,fra,h,corse-du-sud
250021,fra,d,cote-d'or
250022,fra,e,cotes-d'armor
250023,fra,l,creuse
250024,fra,b,dordogne
250025,fra,i,doubs
250026,fra,v,drome
250027,fra,q,eure
250028,fra,f,eure-et-loir
250029,fra,e,finistere
250030,fra,k,gard
250031,fra,n,haute-garonne
250032,fra,n,gers
250033,fra,b,gironde
250034,fra,k,herault
250035,fra,e,ille-et-vilaine
250036,fra,f,indre
250037,fra,e/f,indre-et-loire
250038,fra,v,isere
250039,fra,i,jura
250040,fra,b,landes
250041,fra,f,loir-et-cher
250042,fra,f/v,loire
250043,fra,c,haute-loire
250044,fra,r,loire-atlantique
250045,fra,f,loiret
250046,fra,n,lot
250047,fra,b,lot-et-garonne
250048,fra,k,lozere
250049,fra,r,maine-et-loire
250050,fra,p,manche
250051,fra,g,marne
250052,fra,g,haute-marne
250053,fra,r,mayenne
250054,fra,m,meurthe-et-moselle
250055,fra,m,meuse
250056,fra,e,morbihan
250057,fra,m,moselle
250058,fra,d,nievre
250059,fra,o,nord
250060,fra,s,oise
250061,fra,p,orne
250062,fra,o,pas-de-calais
250063,fra,c,puy-de-dome
250064,fra,b,pyrenees-atlantiques
250065,fra,n,haute-pyrenees
250066,fra,k,pyrenees-orientales
250067,fra,a,bas-rhin
250068,fra,a,haut-rhin
250069,fra,v,rhone
250070,fra,i,haute-saone
250071,fra,d,saone-et-loire
250072,fra,r,sarthe
250073,fra,v,savoie
250074,fra,v,haute-savoie
250075,fra,j,paris
250076,fra,q,seine-maritime
250077,fra,j,seine-et-marne
250078,fra,j,yvelines
250079,fra,t,deux-sevres
250080,fra,s,somme
250081,fra,n,tarn
250082,fra,n,tarn-et-garonne
250083,fra,u,var
250084,fra,u,vaucluse
250085,fra,r,vendee
250086,fra,t,vienne
250087,fra,l,haute-vienne
250088,fra,m,vosges
250089,fra,d,yonne
250090,fra,i,territoire de belfort
250091,fra,j,essonne
250092,fra,j,hauts-de-seine
250093,fra,j,seine-saint-denis
250094,fra,j,val-de-marne
250095,fra,j,val-d'oise
250096,fra,h,haute-corse
826001,gbr,eng,anglia
826002,gbr,eng/sct,border
826003,gbr,eng,central
826004,gbr,eng,granada
826005,gbr,eng,london
826006,gbr,eng,meridian
826007,gbr,sct,stv north (grampian)
826008,gbr,eng,tyne tees
826009,gbr,nir,utv
826010,gbr,eng/wls,wales and west
826011,gbr,eng,westcountry
826012,gbr,eng,yorkshire
826013,gbr,eng,anglia/central
826014,gbr,eng,anglia/london
826015,gbr,eng,anglia/yorkshire
826016,gbr,eng/iom,border/granada
826017,gbr,sct,stv central (scottish)
826018,gbr,eng,border/tyne tees
826021,gbr,eng,central/granada
826022,gbr,eng,central/london
826023,gbr,eng,central/wales and west
826024,gbr,eng,central/yorkshire
826025,gbr,eng/wls,granada/wales and west
826026,gbr,eng,granada/yorkshire
826027,gbr,eng,london/meridian
826028,gbr,eng/wls,meridian/wales and west
826029,gbr,eng,meridian/westcountry
826030,gbr,eng,tyne tees/yorkshire
826031,gbr,eng/wls,wales and west/westcountry
826032,gbr,sct,stv north/stv central
